"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"140","Los Angeles - Lafayette Square",18,18,377,0,0,0,229,5023,4769,4559
"141","Los Angeles - Lake Balboa",197,197,457,6,14,17,2450,5805,5630,42206
"142","Los Angeles - Lakeview Terrace",108,108,799,3,23,19,977,7439,7333,13133
"143","Los Angeles - Leimert Park",56,56,342,2,13,8,994,6524,6008,15235
"144","Los Angeles - Lincoln Heights",231,231,681,18,55,48,2051,6292,6047,32597
"145","Los Angeles - Little Armenia",191,191,1972,31,386,318,540,6729,5796,8025
"146","Los Angeles - Little Bangladesh",129,129,447,3,11,12,1231,4343,4151,28343
"147","Los Angeles - Little Tokyo",17,17,390,2,64,21,400,12767,12293,3133
"148","Los Angeles - Longwood",21,21,461,0,0,0,303,7040,6905,4304
"149","Los Angeles - Los Feliz",51,51,231,1,5,3,1372,6350,6340,21608
"150","Los Angeles - Manchester Square",19,19,202,0,0,0,495,5799,5572,8536
"151","Los Angeles - Mandeville Canyon",1,1,32,0,0,0,200,6402,8182,3124
"152","Los Angeles - Mar Vista",80,80,171,4,9,7,2450,5769,5495,42471
"153","Los Angeles - Marina Peninsula",12,12,209,0,0,0,392,8991,10231,4360
"154","Los Angeles - Melrose",545,545,676,37,48,49,4817,6200,5758,77696
"155","Los Angeles - Mid-city",56,56,330,3,20,18,933,6208,5798,15030
"156","Los Angeles - Miracle Mile",41,41,187,4,22,20,1225,6811,6079,17985
"157","Los Angeles - Mission Hills",144,144,569,6,25,21,1292,5356,5234,24124
"158","Los Angeles - Mt. Washington",102,102,401,3,12,11,1150,4763,4625,24145
"159","Los Angeles - North Hills",433,433,693,14,23,27,3060,4970,4911,61575
"160","Los Angeles - North Hollywood",669,669,417,22,15,16,7112,4697,4412,151421
"161","Los Angeles - Northridge",321,321,425,28,40,33,4304,6166,5846,69797
"162","Los Angeles - Pacific Palisades",55,55,285,3,14,6,1290,6059,6207,21291
"163","Los Angeles - Pacoima",686,686,909,12,16,19,4529,5883,6009,76979
"164","Los Angeles - Palisades Highlands",3,3,75,0,0,0,160,4160,3727,3846
"165","Los Angeles - Palms",188,188,482,19,43,56,2744,6254,6065,43877
"166","Los Angeles - Panorama City",731,731,999,35,47,63,4392,5837,5855,75250
"167","Los Angeles - Park La Brea",19,19,127,1,7,8,683,5029,4743,13580
